tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037980014,117,36,6,0,397,79,194,10,15,32,3,27
06037980015,81,24,0,0,62,29,17,3,4,11,0,10
06037980019,16,15,0,0,1,1,6,3,0,2,1,0
06037980020,2,3,0,0,0,3,7,2,0,0,0,0
06037980021,88,31,4,1,61,88,123,9,8,16,0,10
06037980022,11,4,0,0,21,3,19,5,9,4,0,7
06037980023,6,2,1,0,4,1,14,2,0,5,0,0
06037980024,175,188,6,3,607,478,366,22,34,68,13,26
06037980026,9,3,0,0,0,11,17,2,0,0,0,0
06037980028,46,120,1,3,115,93,50,10,26,104,11,42
06037980031,54,96,3,1,118,34,29,4,21,21,3,10
